,Date,Types,Description,Parts
0,2017-03-07,Brakes,Change Brakes,[]
1,2011-10-13,Brakes,Change Brakes,[]
2,2013-01-26,Brakes,Change Brakes,[]
3,2013-08-15,Transmission Fluid,Change the Transmission Fluid,[]
4,2013-09-27,Oil Change,Change the oil on the truck,[]
5,2019-03-23,Tire Change and Rotation,Change tires,[<Part 28>]
6,2010-12-01,Tire Change and Rotation,Change tires,[]
7,2015-04-08,Alignment,Align tires,[]
8,2012-03-24,Alignment,Align tires,[]
9,2012-05-16,Alignment,Align tires,[]
10,2015-10-17,Brake pad replacement,Replace Brake pads on truck,[]
11,2018-05-12,Replace fan belt,Replace fan belt,[]
12,2018-09-13,Windshield wiper replacement,Windshield wiper replacement,[]
13,2011-12-29,Tire Change,Change tires,[]
14,2009-09-29,Tire Change,Change tires,[]
15,2018-07-02,Tire Change,Change tires,[]
16,2010-02-23,Tire rotation,Tire rotation,[]
17,2010-07-30,Tire rotation,Tire rotation,[]
