,Date,Types,Description,Parts
0,2018-07-17,Brakes,Change Brakes,[]
1,2013-02-03,Transmission Fluid,Change the Transmission Fluid,[]
2,2017-09-21,Transmission Fluid,Change the Transmission Fluid,[]
3,2018-05-19,Transmission Fluid,Change the Transmission Fluid,[]
4,2011-06-02,Oil Change,Change the oil on the truck,[]
5,2015-10-06,Oil Change,Change the oil on the truck,[]
6,2009-04-23,Tire Change and Rotation,Change tires,[]
7,2016-12-09,Tire Change and Rotation,Change tires,[]
8,2014-10-17,Tire Change and Rotation,Change tires,[]
9,2011-11-09,Tire Change and Rotation,Change tires,[]
10,2015-04-01,Alignment,Align tires,[]
11,2019-02-26,Brake pad replacement,Replace Brake pads on truck,[]
12,2013-08-06,Brake pad replacement,Replace Brake pads on truck,[]
13,2010-04-20,Replace fan belt,Replace fan belt,[]
14,2013-07-06,Replace fan belt,Replace fan belt,[]
15,2013-01-09,Windshield wiper replacement,Windshield wiper replacement,[]
16,2012-08-02,Windshield wiper replacement,Windshield wiper replacement,[]
17,2014-07-09,Windshield wiper replacement,Windshield wiper replacement,[]
18,2017-01-21,Tire Change,Change tires,[]
19,2016-06-23,Tire rotation,Tire rotation,[]
